knr,rain,date
101,0,2011-01-01
104,0,2011-01-01
105,0.1920199990272522,2011-01-01
106,0,2011-01-01
111,0.014492800459265709,2011-01-01
118,0.01253919955343008,2011-01-01
119,2.8813600540161133,2011-01-01
121,3.5185201168060303,2011-01-01
122,1.571429967880249,2011-01-01
123,0.19594599306583405,2011-01-01
124,1.0303000211715698,2011-01-01
125,2.741529941558838,2011-01-01
127,0.9702969789505005,2011-01-01
128,1.6856499910354614,2011-01-01
135,0,2011-01-01
136,0,2011-01-01
137,0.01593630015850067,2011-01-01
138,0,2011-01-01
211,0,2011-01-01
213,0,2011-01-01
214,0,2011-01-01
215,0,2011-01-01
216,0,2011-01-01
217,0,2011-01-01
219,0.34358999133110046,2011-01-01
220,0,2011-01-01
221,6.888309955596924,2011-01-01
226,10.976099967956543,2011-01-01
227,8.977649688720703,2011-01-01
228,7.219180107116699,2011-01-01
229,1.2532800436019897,2011-01-01
230,4.3623199462890625,2011-01-01
231,4.4078898429870605,2011-01-01
233,0.47777798771858215,2011-01-01
234,1.5057499408721924,2011-01-01
235,6.711460113525391,2011-01-01
236,10.467900276184082,2011-01-01
237,2.430459976196289,2011-01-01
238,2.2608699798583984,2011-01-01
239,1.0581799745559692,2011-01-01
301,1.2412300109863281,2011-01-01
402,3.796910047531128,2011-01-01
403,7.716670036315918,2011-01-01
412,6.357590198516846,2011-01-01
415,6.055560111999512,2011-01-01
417,2.1121699810028076,2011-01-01
418,3.6007800102233887,2011-01-01
419,7.415709972381592,2011-01-01
420,3.1785099506378174,2011-01-01
423,3.8899600505828857,2011-01-01
425,3.896090030670166,2011-01-01
426,6.058819770812988,2011-01-01
427,11.797900199890137,2011-01-01
428,28.40839958190918,2011-01-01
429,21.297500610351563,2011-01-01
430,29.92329978942871,2011-01-01
432,34.570701599121094,2011-01-01
434,55.24980163574219,2011-01-01
436,66.05829620361328,2011-01-01
437,82.35569763183594,2011-01-01
438,44.81800079345703,2011-01-01
439,72.36920166015625,2011-01-01
441,78.25379943847656,2011-01-01
501,5.301259994506836,2011-01-01
502,0.14201200008392334,2011-01-01
511,127.89399719238281,2011-01-01
512,439.14898681640625,2011-01-01
513,341.0539855957031,2011-01-01
514,141.94700622558594,2011-01-01
515,80.82240295410156,2011-01-01
516,27.113500595092773,2011-01-01
517,59.48030090332031,2011-01-01
519,17.07699966430664,2011-01-01
520,32.95949935913086,2011-01-01
521,20.11479949951172,2011-01-01
522,7.335849761962891,2011-01-01
528,1.3711700439453125,2011-01-01
529,0.3070870041847229,2011-01-01
532,0.10798099637031555,2011-01-01
533,0.7873749732971191,2011-01-01
534,0.19815100729465485,2011-01-01
536,2.7517099380493164,2011-01-01
538,3.9801900386810303,2011-01-01
540,6.590829849243164,2011-01-01
541,2.6401801109313965,2011-01-01
542,1.6931400299072266,2011-01-01
543,12.0108003616333,2011-01-01
544,18.783700942993164,2011-01-01
545,110.83999633789062,2011-01-01
602,0,2011-01-01
604,0.0012738900259137154,2011-01-01
605,0.6278030276298523,2011-01-01
612,0.08040200173854828,2011-01-01
615,3.683769941329956,2011-01-01
616,8.113639831542969,2011-01-01
617,2.363640069961548,2011-01-01
618,84.07859802246094,2011-01-01
619,69.54840087890625,2011-01-01
620,86.3832015991211,2011-01-01
621,0.777646005153656,2011-01-01
622,0,2011-01-01
623,0,2011-01-01
624,0,2011-01-01
625,0,2011-01-01
626,0,2011-01-01
627,0,2011-01-01
628,0,2011-01-01
631,0,2011-01-01
632,2.3042500019073486,2011-01-01
633,16.834400177001953,2011-01-01
701,0,2011-01-01
702,0,2011-01-01
704,0,2011-01-01
706,1.8174599409103394,2011-01-01
709,0.20292499661445618,2011-01-01
711,0,2011-01-01
713,0,2011-01-01
714,0,2011-01-01
716,0,2011-01-01
719,0.06878309696912766,2011-01-01
720,0.354544997215271,2011-01-01
722,0.5098040103912354,2011-01-01
723,1.5151499509811401,2011-01-01
728,0,2011-01-01
805,0,2011-01-01
806,0,2011-01-01
807,0.27489200234413147,2011-01-01
811,0,2011-01-01
814,0,2011-01-01
815,0,2011-01-01
817,0,2011-01-01
819,0.004662000108510256,2011-01-01
821,1.1119699478149414,2011-01-01
822,0.3231709897518158,2011-01-01
826,1.3979500532150269,2011-01-01
827,0.6138110160827637,2011-01-01
828,0.9477300047874451,2011-01-01
829,0.00842696987092495,2011-01-01
830,0.040948301553726196,2011-01-01
831,4.354459762573242,2011-01-01
833,21.40019989013672,2011-01-01
834,31.970800399780273,2011-01-01
901,0,2011-01-01
904,0.7727270126342773,2011-01-01
906,0,2011-01-01
911,0,2011-01-01
912,0,2011-01-01
914,0,2011-01-01
919,0,2011-01-01
926,0.1576090008020401,2011-01-01
928,1.9541399478912354,2011-01-01
929,0.22703200578689575,2011-01-01
935,0.656715989112854,2011-01-01
937,1.8462899923324585,2011-01-01
938,13.164299964904785,2011-01-01
940,33.14080047607422,2011-01-01
941,91.73529815673828,2011-01-01
