"$submission_id";"$created";"Hvor mange ganger har du tatt eksamen i STK1100 tidligere?";"Hvordan gjennomfører du STK1100 dette semesteret?";"Hvor mange studiepoeng har du til hensikt å ta dette semesteret?";"Hva slags student er du";"I hvilket semester av studieprogrammet er du?";"";"";"";"";"";"";"";"Har du noen andre/utfyllende kommentarer til organiseringen av kurset?";"Kommer på forelesningene";"Kommer på gruppetimene";"Regner ukesoppgavene";"Regner gamle eksamensoppgaver";"Følger med på semestersidene";"";"Er det noe annet du føler har hjulpet deg til å lære i emnet?";"";"";"";"Har du noen andre/utfyllende kommentarer til forelesningene?";"Hva ville gjort gruppeundervisning enda bedre?";"";"";"";"Har du noen andre/utfyllende kommentarer til de obligatoriske oppgavene?";"";"";"Har du noen andre/utfyllende kommentarer til eksamen? Forslag til endringer?";"$answer_time_ms"
"46313030";"2026-06-18T00:00:00+02:00";"0";"Følger undervisning og tar eksamen";"41-50";"Matematikkprogram";"2";"Svært godt";"Vanskelig";"Passe";"0 - 5";"Svært bra";"Svært bra";"";"";"Sjelden";"Aldri ";"Alltid";"Alltid";"Alltid";"Svært bra";"";"Svært bra";"Mye";"Hverken";"";"";"Relevant";"Passe";"";"";"Bra";"Vanskelig";"";"138254"
"46313059";"2026-06-18T00:00:00+02:00";"0";"Følger undervisning og tar eksamen";"Mer enn 50";"Matematikkprogram";"Er ikke programstudent eller følger ikke vanlig studieprogresjon";"Svært godt";"Svært vanskelig";"Svært mye";"21&#43;";"Svært bra";"Svært bra";"Hverken";"Alt er glitrende bra. (Og ja, jeg er foreleser.)";"Alltid";"Alltid";"Alltid";"Alltid";"Alltid";"Svært bra";"De glitrende foreleserne Nils & Emil.";"Svært bra";"Svært mye";"Svært bra";"De er på høyt nivå.";"Om studentene hadde forberedt seg enda bedre -- og om de hadde blitt jaget på tavlen.";"Svært relevant";"Svært vanskelig";"Svært nyttig";"Svært nyttige tilbakemeldinger.";"Svært bra";"Svært vanskelig";"Meget lærerike oppgavever, på obligene. Eksamen var en læringsfest.";"214276"
"46313101";"2026-06-18T00:00:00+02:00";"0";"Følger undervisning og tar eksamen";"21-30";"Lektorprogram";"4";"Svært dårlig";"Svært vanskelig";"Svært mye";"6 - 10";"Hverken";"Svært dårlig";"Veldig stor";"Eksamen hang dårlig sammen med undervisningen og temaer fra eksamener tidligere år og prøveeksamen. Stor forskjell i vanskelighetsgrad og temaer for stk og stkfys";"Ofte ";"Aldri ";"Alltid";"Ofte ";"Alltid";"Dårlig";"";"Svært dårlig";"Svært lite";"Hverken";"";"";"Hverken";"Passe";"Hverken";"";"Svært dårlig";"Svært vanskelig";"Mye vanskeligere ig helt annerledes fra tidligere år. Temaer som nesten aldri hadde kommet tidligere og deler av pensum som ofte kommer og var stor del av undervisningen ig ukesoppgavene kom ikke på eksamen. Det virket som om eksamen i år ble lagd for å få studentene til å mislykkes. Måten oppgavene var formulert på var i tillegg ganske forvirrende. Det virket nesten som om foreleserne prøvde å se ned på studentene sine. Spesielt med tanke på innlegget foreleser velger å legge ut etter eksamen og dele på line studier. Med teksten tilhørende facebook inlegget føles det som om det er et forsøk på å være morsom, som istedet føles som et hån av studentene hvor all skyld legges på dem og ikke noe ansvar tas i foreleser sine hender. Det dårligste samsvaret mellom prøveeslamen, tidligere eksamener og eksamen jeg og de andre jeg har snakket med som tok emnet har hatt i noe emne noen gang og de dårligste foreleserne jeg og medstudenter jrg har snakket med har hatt i noe emne så langt.";"669546"
"46313208";"2026-06-18T00:00:00+02:00";"0";"Følger ikke undervisning, men tar eksamen";"21-30";"Matematikkprogram";"4";"Svært dårlig";"Vanskelig";"Mye";"11 - 15";"Dårlig";"Svært dårlig";"Veldig stor";"";"Av og til";"Alltid";"Alltid";"Ofte ";"Alltid";"Bra";"";"Svært dårlig";"Svært lite";"Hverken";"Ingen av foreleserne passer til et introfag. Den ene utdyper altfor lite, og man må snakke med han fysisk for å få svar på spørsmål (altså at han ikke legger ut info, og han svarer ikke på mail). Han andre sier mye, men klarer ikke å være tydelig. For å forstå hva han sier må man bli kjent med han, men introfag er for store til at det er mulig";"";"Relevant";"Svært vanskelig";"Nyttig";"";"Svært dårlig";"Svært vanskelig";"Det var altfor mange oppgaver, og de fleste var i tillegg vanskeligere enn tidligere eksamener. Man fikk ikke noe ut av å gjøre gamle eksamensoppgaver, noe jeg fikk inntrykk av at foreleserne ikke anerkjente. Eksamen (og midtveis) var vanskelig å forutse, og hva pensum inneholdt var utydelig. Jeg synes også det er absurd å ha en prøveeksamen som krever hjelpemidler som ikke er tillat på eksamen (oppgaver om programmering)";"1173015"
"46313233";"2026-06-18T00:00:00+02:00";"0";"Følger undervisning og tar eksamen";"11-20";"Matematikkprogram";"Er ikke programstudent eller følger ikke vanlig studieprogresjon";"Dårlig";"Vanskelig";"Passe";"11 - 15";"Hverken";"Dårlig";"Liten";"";"Av og til";"Aldri ";"Alltid";"Ofte ";"Alltid";"Hverken";"";"Dårlig";"Lite";"Hverken";"";"";"Relevant";"Vanskelig";"Hverken";"";"Hverken";"Vanskelig";"";"1247458"
"46313278";"2026-06-18T00:00:00+02:00";"0";"Følger undervisning og tar eksamen";"21-30";"Matematikkprogram";"2";"Hverken";"Vanskelig";"Svært mye";"16 - 20";"Hverken";"Hverken";"Hverken";"Det er ikke alltid tydelig hva pensum er, og hva det er meningen at vi skal kunne. Mange oppgaver er ok, men noen ganger trenger man å huske en eller annen sær regneregel vi sjelden har brukt. Dette skjedde til og med på eksamnen. Det virker ikke alltid som om forelesere har innsett at det er et begynner-emne i statistikk de underviser.";"Sjelden";"Av og til";"Ofte ";"Ofte ";"Alltid";"Hverken";"Gruppelærer Lovise gjorde en utmerket jobb. Ellers har det vært litt ""hit and miss"" hvor bra det andre materialet har vært.";"Hverken";"Hverken";"Hverken";"";"Gruppelæreren i timene jeg gikk på gjorde en utmerket jobb. Det eneste jeg hadde inntrykk av var at kommunikasjonen mellom gruppelærer og forelesere var litt mangelfull. På Ifi (undertegnede har vært gruppelærer der flere ganger) hadde man ofte ukentlige møter med foreleserne. Poenget med slikt var at gruppelærere hadde et delt bilde med foreleserne om hvordan progresjonen i emnet gikk, samt at man hadde et delt syn på hva som er viktig å lære. (++ hvordan løse vanskeligere oppgaver der gruppelærerne kanskje er noe usikre). Her kunne foreleserne gjort en bedre jobb med å dele informasjon om pensum-endringene som ble gjort dette semesteret. Vet også at mail gikk ubesvart fra foreleserne fra gruppelæreren jeg gikk til, noe som virker litt bak mål.";"Relevant";"Svært vanskelig";"Svært nyttig";"De obligatoriske oppgavene var litt store med tanke på tiden. Har aldri opplevd en slik størrelse på obligatoriske oppgaver med relativt kort frist. Lærte man mye? Selvfølgelig. Synes informasjon rundt de kunne vært kommunisert litt bedre. Spesielt det at de kanskje var designet til å være litt vanskelige? Undertegnede følte seg dum når ting var litt vanskelig, for de fleste kurs har ikke en så høy vanskelighetsgrad på sine obligatoriske oppgaver. Gruppelæreren var dog flink til å gi tilbakemeldinger. Det burde i grunn være nok å levere på Canvas for å få tilbakemelding. Hele systemet med å sende til gruppelærer direkte var bissarrt.";"Hverken";"Vanskelig";"Standard på huset er å ha 10 oppgaver på eksamen. Delvis pga å gjøre livet lettere for sensorer, men også for å ha en fair mengde oppgaver å løse på eksamen. Hvorfor i skampulte helvete bestemmer dere at det skal være 20 oppgaver på denne? Det var altfor mye! Om man engang skulle ha sjans til å bli ferdig med oppgavene måtte man rushe gjennom. Selv de flinkeste jeg kjenner sa det var ekstremt mye å gjøre. Var flere i den kategorien som endte bare såvidt kom gjennom, eller ikke rakk en oppgave eller to. Det er meningen at man skal kunne vise det man har lært på eksamen, og det MÅ selvfølgelig inkludere å ha litt tenketid på enkelte oppgaver! Noen ganger, som f.eks på Poisson utledningen, så MÅ man ha tenketid for å huske relevante regneregler. Samme med flere andre tvetydige spørsmål. Virket mest som en akademisk masturbasjon fra foreleserne sin side for å vise hvor ""kule"" de er, og at ingen av oss hører hjemme i feltet statistikk.";"1273610"
"46314432";"2026-06-18T00:00:00+02:00";"0";"Følger undervisning og tar eksamen";"21-30";"Lektorprogram";"4";"Dårlig";"Vanskelig";"Mye";"6 - 10";"Hverken";"Svært dårlig";"Stor";"Jeg syns det var veldig vanskelig å henge med når vi byttet foreleser etter fem uker - det kan jo ha med at jeg syntes det var enklere å henge med på den ene enn den andre, men jeg slet nok også med at overgangene ikke ble så gode - foreleser spurte ofte om den  andre hadde gått gjennom dette og dette og det har ikke jeg oversikt nok til å vite men da er det fort at man går rett videre i stedet for å forklare dobbelt eller at ting ble forklart på en annen måte uten at det hadde blitt introdusert slik og da detter man fort av.";"Av og til";"Av og til";"Ofte ";"Ofte ";"Alltid";"Hverken";"Jeg har brukt boken aller mest til å lære meg prinsipper og det har hjulpet til en viss grad, selv om den er ganske vanskelig å forstå og ikke veldig god på å forklare alltid. Men det har hjulpet å hvert fall ha noe å slå opp definisjoner i når jeg ikke har fått de med meg i forelesning. Samt at jeg har brukt en del youtube til å forklare prinsipper jeg ikke har skjønt ut fra boken.";"Svært dårlig";"Svært lite";"Hverken";"Jeg syns forelesningen var på et for høyt nivå for meg. Jeg slet fra start med å henge med og kom meg dermed aldri inn. Når du nesten ikke har hatt noe sannsynlighetsregning og statistikk forventer jeg å få innføring også i de grunnleggende prinsippene på en enkel måte og det følte jeg ikke at jeg fikk. F.eks når det ble tatt regneeksempler på tavlen så opplevde jeg ofte at  de ""enkle"" utregningsdelene ble hoppet over og da blir det veldig vanskelig å følge med fordi jeg allerede har falt av før poenget kommer. I tillegg gikk det ofte veldig fort slik at jeg ikke klarte å følge med på det som ble sagt.";"Jeg opplevde at gruppetimene var gode, men noen ganger mptte jeg vente veldig lenge før jeg fikk stilt spørsmål fordi noen av de andre som var det stilte spørsmål videre og videre veldig lenge.";"Lite relevant";"Svært vanskelig";"Hverken";"Jeg syns formuleringene på oppgavene var vanskelige og hadde et avansert matematisk språk som gjorde at jeg brukte masse tid på å sette meg inn i hva oppgaven spurte om. I tillegg var det mye jeg syns var veldig vanskelig og når det da i tillegg ikke ble lagt ut noe løsningsforslag og jeg måtte skrive ut besvarelse og levere fysisk til gruppelærer for å få tilbakemelding syns jeg det var utrolig lite læringsutbytte. Når man ikke skjønner oppgavene må man hvert fall få tilgang på et utfyllende læsningsforslag i etterkant så man kan få svar på alle de spørsmålene som oppstod underveis og det man ikke skjønte.";"Hverken";"Vanskelig";"Jeg syns det var veldig spesielt å ha en oppgave til g) om mse når det ikke står noe om på formelarket og ikke har gått igjen på tidligere eksamener, mitt inntrykk har hvert fall ikke vært at det er en stor del av pensum. Det opplevde jeg derimot at sannsynlighetstetthet med to uavhengige variable var, og det kom ikke i det hele tatt. Selvfølgelig skal det være noen ting som er vsnskeligere på eksamen, men jeg syns ikke det bør være en fjerdedel av eksamen hvis det ikke er en sentral del av pensum. I tillegg var det veldig mange oppgaver til å være en firetimers eksamen og jeg rakk rett og slett ikke å gjøre alle oppgavene.";"4999092"
"46314714";"2026-06-18T00:00:00+02:00";"0";"Følger ikke undervisning, men tar eksamen";"31-40";"Matematikkprogram";"2";"Dårlig";"Vanskelig";"Passe";"6 - 10";"Dårlig";"Dårlig";"Stor";"";"Sjelden";"Aldri ";"Av og til";"Av og til";"Ofte ";"Dårlig";"";"Dårlig";"Svært lite";"Hverken";"";"";"Hverken";"Passe";"";"";"Dårlig";"Svært vanskelig";"";"223404"
"46314870";"2026-06-18T00:00:00+02:00";"0";"Følger undervisning og tar eksamen";"Mer enn 50";"Matematikkprogram";"2";"Hverken";"Vanskelig";"Passe";"6 - 10";"Hverken";"Dårlig";"Stor";"";"Alltid";"Aldri ";"Sjelden";"Ofte ";"Ofte ";"Hverken";"";"Hverken";"Mye";"Dårlig";"";"";"Relevant";"Passe";"Hverken";"";"Svært dårlig";"Vanskelig";"";"183879"
"46318020";"2026-06-18T00:00:00+02:00";"0";"Følger undervisning og tar eksamen";"21-30";"Matematikkprogram";"2";"Dårlig";"Svært vanskelig";"Passe";"11 - 15";"Dårlig";"Dårlig";"Liten";"";"Alltid";"Sjelden";"Ofte ";"Ofte ";"Alltid";"Bra";"";"Svært dårlig";"Mye";"Svært dårlig";"Null struktur. Umulig å skrive notater når ingen beviser/teoremer/setninger blir navngitt. Forelesningene fløt rundt på tavla som suppe, som var vanskelig å lese.";"";"Relevant";"Svært vanskelig";"Svært lite nyttig";"";"Bra";"Svært vanskelig";"";"378015"
