country,iso3c,cpi,region,gdp,population,school_enroll,area,democracy
Afghanistan,AFG,24,AP,1673.96405892148,41128771,57.0392990112305,652860,0.082
Albania,ALB,36,ECA,18551.716479374,2775634,95.7034072875977,28750,0.484
United Arab Emirates,ARE,67,MENA,87729.1912638061,9441129,120.353652954102,98647.9,0.101
Angola,AGO,33,SSA,6973.69629889611,35588987,53.5814514160156,1246700,0.344
Argentina,ARG,38,AME,26504.5905619696,46234830,116.559448242188,2780400,0.823
Armenia,ARM,46,ECA,18941.5268080528,2780469,96.8645629882812,29740,0.645
Australia,AUS,75,AP,62625.357642365,25978935,135.526565551758,7741220,0.858
Austria,AUT,71,WE/EU,67935.8479736373,9042528,102.307662963867,83879,0.794
Azerbaijan,AZE,23,ECA,17764.4455885439,10175016,80.630500793457,86600,0.188
Israel,ISR,63,MENA,49509.1289935125,9550600,96.9270782470703,22070,0.723
Bangladesh,BGD,25,AP,7395.09598677725,171186372,71.8219833374023,147570,0.274
Barbados,BRB,65,AME,17837.4532247473,281635,106.39241027832,430,0.782
Belarus,BLR,39,ECA,22590.5909223364,9208701,94.5358963012695,207630,0.175
Belgium,BEL,73,WE/EU,65027.2948954044,11669446,143.163513183594,30530,0.887
Benin,BEN,43,SSA,4056.10834076599,13352864,45.3651695251465,114760,0.45
Bhutan,BTN,68,AP,12036.3640775011,782455,88.1928405761719,38390,0.535
Bosnia and Herzegovina,BIH,34,ECA,20376.8921942473,3233526,85.2915191650391,51210,0.528
Botswana,BWA,60,SSA,18323.0457028393,2630296,70.0183868408203,581730,0.577
Brazil,BRA,38,AME,17821.7372609877,215313498,106.651901245117,8515770,0.678
Bulgaria,BGR,43,WE/EU,33582.2826109196,6465097,89.7356414794922,111000,0.688
Burkina Faso,BFA,42,SSA,2545.86354868676,22673762,33.724910736084,274220,0.295
Burundi,BDI,17,SSA,836.18756902761,12889576,41.9843559265137,27830,0.189
Cabo Verde,CPV,60,SSA,9082.83764344039,593149,84.1088104248047,4030,0.75
Cambodia,KHM,24,AP,5349.46379391855,16767842,57.9598846435547,181040,0.206
Cameroon,CMR,26,SSA,4408.04627354922,27914536,45.143669128418,475440,0.297
Canada,CAN,74,AME,58399.5454813184,38929902,109.333061218262,15634410,0.847
Central African Republic,CAF,24,SSA,967.268323827568,5579144,15.42516040802,622980,0.321
Chad,TCD,19,SSA,1668.02296131439,17723315,24.0918598175049,1284000,0.14
Chile,CHL,67,AME,30208.805531053,19603733,106.673522949219,756700,0.811
China,CHN,45,AP,21475.610527214,1412175000,93.3106079101562,9562910,0.075
Colombia,COL,39,AME,20287.4002631682,51874024,102.987998962402,1140619.05,0.689
Comoros,COM,19,SSA,3832.4689846225,836774,62.869499206543,1861,0.284
Costa Rica,CRI,54,AME,24922.659274084,5180829,141.202713012695,51100,0.871
Cote d'Ivoire,CIV,37,SSA,6538.29641989437,28160542,55.0669403076172,322460,0.437
Croatia,HRV,50,WE/EU,40379.5724355217,3854000,102.984100341797,88070,0.738
Cyprus,CYP,52,WE/EU,49930.8671875,1251488,102.499496459961,9250,0.777
Czechia,CZE,56,WE/EU,49945.5001044375,10526073,100.097846984863,78871.04,0.853
Denmark,DNK,90,WE/EU,74005.4785197575,5903037,131.772018432617,42920,0.916
Djibouti,DJI,30,SSA,5893.18486342005,1120849,45.0077781677246,23200,0.255
Dominican Republic,DOM,32,AME,22833.5257548031,11228821,76.3084716796875,146839.31,0.679
Ecuador,ECU,36,AME,12822.1137763438,18001000,98.1546936035156,256370,0.657
Qatar,QAT,58,MENA,114648.031550383,2695122,107.666152954102,11490,0.088
El Salvador,SLV,33,AME,11096.2132011865,6336392,64.2855682373047,21040,0.378
Eritrea,ERI,22,SSA,1628.75050902937,3684032,42.7937088012695,121630.327,0.073
Estonia,EST,74,WE/EU,46697.3597360426,1344768,113.01091003418,45340,0.893
Eswatini,SWZ,30,SSA,10782.1513723806,1201670,85.9756088256836,17360,0.12
Ethiopia,ETH,38,SSA,2811.58174439039,123379924,34.8671417236328,1136239.544,0.319
Fiji,FJI,53,AP,14125.2957463901,929766,84.1122055053711,18270,0.406
Finland,FIN,87,WE/EU,59026.7073352151,5556880,143.361343383789,338470,0.861
France,FRA,72,WE/EU,55492.5655467571,67935660,104.415031433105,549086.87,0.874
Gabon,GAB,29,SSA,16470.5835350355,2388992,67.1427764892578,267670,0.369
Georgia,GEO,56,ECA,20113.3772367561,3712502,103.779502868652,69700,0.647
Germany,DEU,79,WE/EU,63149.5986898098,84079811,101.203536987305,357590,0.857
Ghana,GHA,43,SSA,6498.38572689223,33475870,75.3132629394531,238530,0.633
Greece,GRC,52,WE/EU,36834.8710885703,10566531,105.525001525879,131960,0.783
Guatemala,GTM,24,AME,10818.1717242445,17357886,46.1119003295898,108890,0.435
Guinea,GIN,25,SSA,3187.01934316651,13859341,35.9549407958984,245860,0.191
