state,division,population,doses
Alaska,Pacific,731544,1318725
Alabama,East South Central,4903191,8071240
Arkansas,West South Central,3017801,5001010
Arizona,Mountain,7278725,12623930
California,Pacific,39512258,76439625
Colorado,Mountain,5758737,10884185
Connecticut,New England,3565283,7482495
Delaware,South Atlantic,973764,1985875
Florida,South Atlantic,21477763,40827295
Georgia,South Atlantic,10617440,18382505
Hawaii,Pacific,1415870,2975310
Iowa,West North Central,3155069,5713515
Idaho,Mountain,1787060,2872610
Illinois,East North Central,12671790,23424565
Indiana,East North Central,6732224,11105880
Kansas,West North Central,2913308,5209315
Kentucky,East South Central,4467674,7466735
Louisiana,West South Central,4648805,6892830
Massachusetts,New England,6892512,14758730
Maryland,South Atlantic,6045679,13416450
Maine,New England,1344212,2924750
Michigan,East North Central,9986879,18107310
Minnesota,West North Central,5639630,10930110
Missouri,West North Central,6137415,9932915
Mississippi,East South Central,2976142,4586295
Montana,Mountain,1068779,1733335
North Carolina,South Atlantic,10488056,18923600
North Dakota,West North Central,762062,1193740
Nebraska,West North Central,1934404,3429950
New Hampshire,New England,1359709,2958020
New Jersey,Middle Atlantic,8882207,18777785
New Mexico,Mountain,2096824,3794455
Nevada,Mountain,3080151,5098450
New York,Middle Atlantic,19453515,39444725
Ohio,East North Central,11689121,19956485
Oklahoma,West South Central,3956966,6277450
Oregon,Pacific,4217740,8481665
Pennsylvania,Middle Atlantic,12801989,25730845
Rhode Island,New England,1059359,2306765
South Carolina,South Atlantic,5148719,8856415
South Dakota,West North Central,884661,1590195
Tennessee,East South Central,6829168,10904610
Texas,West South Central,28995827,52079695
Utah,Mountain,3205951,5418250
Virginia,South Atlantic,8535509,16953825
Vermont,New England,623990,1430990
Washington,Pacific,7614880,15195645
Wisconsin,East North Central,5822446,10132395
West Virginia,South Atlantic,1792144,3354195
Wyoming,Mountain,578761,847005
